label,text
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Okay... I booked all already... Including the one at bugis.
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,Prepare to be pounded every night...
ham,No..jst change tat only..
ham,Yupz... I've oredi booked slots 4 my weekends liao...
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
ham,Call me when u finish then i come n pick u.
ham,"Sorry, I'll call later"
ham,Oh sorry please its over
ham,I love your ass! Do you enjoy doggy style? :)
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,Its a part of checking IQ
ham,Must come later.. I normally bathe him in da afternoon mah..
ham,No chikku nt yet.. Ya i'm free
ham,I dun believe u. I thk u told him.
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,No calls..messages..missed calls
ham,Still in the area of the restaurant. Ill try to come back soon
ham,Hey are you angry with me. Reply me dr.
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
ham,I'm wif him now buying tix lar...
ham,Pls send me the correct name da.
ham,Ok lor... But buy wat?
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,Stupid auto correct on my phone
ham,Hey do you want anything to buy:)
ham,When should I come over?
ham,Taka lor. Wat time u wan 2 come n look 4 us?
